Date,Time UTC,Latitude,Longitude,Altitude,Fix,Fix quality,PDOP,HDOP,VDOP,Inview Sats,Active sats,Active GPS,Active GLO,Active GAL,Active BEI,Active Other
N/A,19:25:37,-22.004356166666668,-47.934418,831.8,N/A,DGPS,N/A,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:38,-22.0043555,-47.93441516666667,831.8,N/A,DGPS,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:39,-22.004353666666667,-47.934405166666664,831.8,N/A,fRTK,N/A,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:40,-22.004351333333332,-47.93438583333333,831.8,N/A,fRTK,N/A,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:41,-22.004345,-47.9343575,831.7,N/A,DGPS,N/A,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:42,-22.004336833333333,-47.934320666666665,831.6,N/A,DGPS,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:43,-22.004328166666667,-47.93427666666667,831.6,N/A,DGPS,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:44,-22.004317166666667,-47.934227,831.4,N/A,DGPS,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:45,-22.004304333333334,-47.934171,831.3,N/A,DGPS,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:46,-22.0042905,-47.934107166666664,831.2,N/A,DGPS,N/A,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:47,-22.004274166666665,-47.93403716666667,831.2,N/A,DGPS,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:48,-22.00425733333333,-47.933959333333334,831.0,N/A,DGPS,N/A,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:49,-22.004239666666667,-47.93387516666667,830.8,N/A,DGPS,N/A,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:50,-22.004218833333333,-47.93378516666667,830.5,N/A,fRTK,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:51,-22.0041965,-47.9336915,830.2,N/A,DGPS,N/A,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:52,-22.004173,-47.93359683333333,829.8,N/A,DGPS,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:53,-22.0041505,-47.933501666666665,829.6,N/A,DGPS,N/A,0.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:54,-22.004127333333333,-47.93340416666667,829.0,N/A,DGPS,N/A,0.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:55,-22.004103833333332,-47.933303333333335,828.6,N/A,DGPS,N/A,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:56,-22.004079166666667,-47.933201333333336,828.4,N/A,DGPS,N/A,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:57,-22.004055,-47.933098666666666,828.3,N/A,DGPS,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:58,-22.004034666666666,-47.932997,828.2,N/A,DGPS,N/A,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:25:59,-22.004015333333335,-47.932895,828.2,N/A,DGPS,N/A,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:00,-22.004002833333335,-47.93279283333333,828.3,N/A,DGPS,N/A,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:01,-22.003995333333332,-47.932691,828.6,N/A,DGPS,N/A,0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:02,-22.003997666666667,-47.93258766666667,828.8,N/A,DGPS,N/A,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:03,-22.004008833333334,-47.93248633333333,829.5,N/A,DGPS,N/A,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:04,-22.004025333333335,-47.932387166666665,830.8,N/A,DGPS,N/A,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:05,-22.004040333333332,-47.932288,831.4,N/A,DGPS,N/A,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:06,-22.004052,-47.93218916666667,831.6,N/A,DGPS,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:07,-22.004065166666667,-47.932090333333335,831.6,N/A,DGPS,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:08,-22.004076666666666,-47.93199216666667,831.5,N/A,fRTK,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:09,-22.00409,-47.93189433333333,831.5,N/A,fRTK,N/A,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:10,-22.004103166666667,-47.93179683333334,831.5,N/A,DGPS,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:11,-22.0041145,-47.93169916666667,831.2,N/A,DGPS,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:12,-22.004125333333334,-47.93160233333333,831.0,N/A,DGPS,N/A,0.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:13,-22.004134666666666,-47.93150633333333,830.7,N/A,DGPS,N/A,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:14,-22.004144,-47.93141683333333,830.5,N/A,DGPS,N/A,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:15,-22.004153,-47.931336333333334,830.1,N/A,fRTK,N/A,0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:16,-22.004160833333334,-47.93126866666667,829.1,N/A,fRTK,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:17,-22.0041785,-47.93121266666667,828.5,N/A,fRTK,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:18,-22.0042125,-47.93116916666666,829.2,N/A,fRTK,N/A,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:19,-22.004253333333335,-47.931145,829.3,N/A,fRTK,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:20,-22.004294333333334,-47.93113,829.2,N/A,fRTK,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:21,-22.004328666666666,-47.9311085,829.0,N/A,fRTK,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:22,-22.004353333333334,-47.931077333333334,828.8,N/A,fRTK,N/A,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:23,-22.004374666666667,-47.93103716666667,828.6,N/A,fRTK,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,19:26:24,-22.004386,-47.930989,828.3,N/A,fRTK,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
